1	Swansea 	29	12.6	221	53.5	81.7	19.8	6.71
2	Aston Villa 	46	14.2	361	53.7	79.9	23.9	6.81
3	Brentford 	35	14.5	402	55.9	79.4	16.5	6.68
4	Leeds 	42	15.6	431	59.4	79.2	22	6.87
5	Norwich 	44	14.7	420	55.0	78.8	18.5	6.81
6	West Bromwich Albion 	52	14.4	391	52.4	78.6	22.4	6.88
7	Derby 	33	14.3	491	55.3	78.5	20.5	6.69
8	Stoke 	30	11.7	352	51.8	78.2	22.1	6.70
9	Sheffield United 	39	13	410	52.3	76.3	24.7	6.81
10	Nottingham Forest 	35	11.8	602	51.7	75.2	20	6.83
11	Sheffield Wednesday 	30	11.2	401	48.5	74.5	25.3	6.68
12	Reading 	27	11.2	413	48.6	74.4	23.8	6.65
13	Middlesbrough 	25	13.3	431	46.5	71.5	27.8	6.79
14	Bristol City 	29	12.7	341	50.8	71.4	28.8	6.75
15	Preston 	36	12.7	383	51.0	70.1	31.6	6.72
16	Wigan 	23	12.6	503	48.5	69.8	26.8	6.57
17	Blackburn 	31	11.5	390	49.6	69.5	24.9	6.69
18	Queens Park Rangers 	31	13	410	45.7	68.4	27.6	6.74
19	Hull 	28	11	321	46.4	67.8	26.8	6.66
20	Bolton 	17	9.9	492	43.6	66.2	33.8	6.64
21	Ipswich 	19	8.9	383	48.9	66.0	28.9	6.50
22	Millwall 	29	12.7	421	45.2	64.2	33.6	6.64
23	Rotherham 	23	13.7	320	43.7	61.4	32	6.68
24	Birmingham 	37	12.6	392	42.0	60.5	33.8	6.87
