1 	Hull City 	6 	5 	1 	0 	14 	7 	+7 	16
2 	Leeds Utd 	6 	5 	0 	1 	10 	7 	+3 	15
3 	West Bromwich 	6 	3 	3 	0 	12 	5 	+7 	12
4 	Birmingham City 	6 	3 	2 	1 	10 	3 	+7 	11
5 	Norwich City 	6 	3 	2 	1 	15 	12 	+3 	11
6 	Derby County 	6 	3 	2 	1 	9 	8 	+1 	11
7 	Sheffield Utd 	6 	3 	1 	2 	10 	5 	+5 	10
8 	QP Rangers 	6 	3 	1 	2 	9 	6 	+3 	10
9 	Bristol City 	6 	2 	4 	0 	7 	5 	+2 	10
10 	Aston Villa 	6 	2 	3 	1 	11 	8 	+3 	9
11 	Stoke City 	6 	2 	3 	1 	7 	6 	+1 	9
12 	Millwall 	6 	2 	2 	2 	7 	7 	0 	8
13 	Sheffield Wed 	6 	2 	2 	2 	8 	9 	-1 	8
14 	Swansea City 	6 	2 	1 	3 	10 	11 	-1 	7
15 	Middlesbrough 	6 	2 	1 	3 	5 	7 	-2 	7
16 	Preston 	6 	2 	1 	3 	6 	9 	-3 	7
17 	Brentford 	6 	1 	3 	2 	5 	7 	-2 	6
18 	Nottm Forest 	6 	1 	2 	3 	5 	6 	-1 	5
19 	Bolton 	6 	1 	2 	3 	5 	7 	-2 	5
20 	Blackburn 	6 	1 	2 	3 	9 	12 	-3 	5
21 	Ipswich Town 	6 	1 	1 	4 	2 	10 	-8 	4
22 	Reading 	6 	0 	3 	3 	3 	7 	-4 	3
23 	Wigan Athletic 	6 	0 	2 	4 	3 	10 	-7 	2
24 	Rotherham 	6 	0 	2 	4 	5 	13 	-8 	2 
