1	Leeds 	59	16	583	59.5	79.3	21.5	6.83
2	Brentford 	58	15	542	56.1	79.4	16.1	6.76
3	Norwich 	71	14.8	640	55.0	78.7	18.2	6.85
4	Aston Villa 	61	13.9	611	53.4	79.8	23.5	6.78
5	West Bromwich Albion 	67	13.8	603	52.5	78.1	21.7	6.81
6	Rotherham 	37	13.8	572	44.1	61.1	34.1	6.68
7	Middlesbrough 	38	13.4	612	46.3	70.9	27.7	6.80
8	Derby 	43	13.3	711	53.9	77.5	19.5	6.65
9	Bristol City 	44	13.1	511	51.1	72.1	30.4	6.81
10	Preston 	54	13.1	524	50.8	70.0	32.3	6.77
11	Queens Park Rangers 	42	13	680	45.7	69.4	29.6	6.69
12	Swansea 	45	12.9	331	54.5	82.8	19.3	6.73
13	Sheffield United 	59	12.7	651	51.2	75.6	25.2	6.86
14	Birmingham 	53	12.4	603	43.1	61.9	34.5	6.84
15	Wigan 	33	12.4	733	48.8	70.6	26.6	6.59
16	Millwall 	38	12	581	45.2	64.2	33.3	6.64
17	Sheffield Wednesday 	41	11.9	532	48.7	73.3	27.9	6.74
18	Nottingham Forest 	47	11.6	835	50.2	73.7	20.8	6.78
19	Reading 	37	11.5	623	50.6	77.0	22.9	6.67
20	Stoke 	37	11.2	582	51.2	77.1	23.9	6.68
21	Blackburn 	47	11.1	532	49.9	69.7	24.7	6.68
22	Hull 	50	10.8	491	46.7	68.4	26.7	6.74
23	Bolton 	22	9.5	704	42.7	66.1	33.1	6.60
24	Ipswich 	27	9.4	564	49.3	67.0	29.2	6.53
