	Average goals at home 	  	Average goals away 	  	Avgerage goals overall 	Pld
Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total 	  	Scored 	Conc. 	Total
 Aston Villa  	2.29 	1.62 	3.90 	   	1.41 	1.09 	2.50 	   	1.84 	1.35 	3.19 	43
 Birmingham City  	1.36 	1.05 	2.41 	   	1.43 	1.57 	3.00 	   	1.40 	1.30 	2.70 	43
 Blackburn  	1.33 	0.90 	2.24 	   	1.41 	2.09 	3.50 	   	1.37 	1.51 	2.88 	43
 Bolton  	0.59 	1.55 	2.14 	   	0.76 	1.90 	2.67 	   	0.67 	1.72 	2.40 	43
 Brentford  	2.14 	1.10 	3.24 	   	1.00 	1.64 	2.64 	   	1.56 	1.37 	2.93 	43
 Bristol City  	1.27 	1.09 	2.36 	   	1.40 	1.15 	2.55 	   	1.33 	1.12 	2.45 	42
 Derby County  	1.67 	0.90 	2.57 	   	1.24 	1.57 	2.81 	   	1.45 	1.24 	2.69 	42
 Hull City  	1.71 	0.95 	2.67 	   	1.23 	1.91 	3.14 	   	1.47 	1.44 	2.91 	43
 Ipswich Town  	0.90 	1.33 	2.24 	   	0.64 	2.00 	2.64 	   	0.77 	1.67 	2.44 	43
 Leeds Utd  	1.68 	0.91 	2.59 	   	1.57 	1.14 	2.71 	   	1.63 	1.02 	2.65 	43
 Middlesbrough  	0.95 	0.73 	1.68 	   	1.14 	0.95 	2.10 	   	1.05 	0.84 	1.88 	43
 Millwall  	1.19 	1.19 	2.38 	   	1.05 	1.67 	2.71 	   	1.12 	1.43 	2.55 	42
 Norwich City  	2.23 	1.50 	3.73 	   	1.81 	0.95 	2.76 	   	2.02 	1.23 	3.26 	43
 Nottm Forest  	1.43 	1.00 	2.43 	   	1.18 	1.50 	2.68 	   	1.30 	1.26 	2.56 	43
 Preston  	1.73 	1.23 	2.95 	   	1.24 	1.52 	2.76 	   	1.49 	1.37 	2.86 	43
 QP Rangers  	1.50 	1.36 	2.86 	   	0.86 	1.76 	2.62 	   	1.19 	1.56 	2.74 	43
 Reading  	1.38 	1.48 	2.86 	   	0.86 	1.50 	2.36 	   	1.12 	1.49 	2.60 	43
 Rotherham  	1.43 	1.57 	3.00 	   	0.86 	1.95 	2.82 	   	1.14 	1.77 	2.91 	43
 Sheffield Utd  	1.82 	0.77 	2.59 	   	1.48 	1.05 	2.52 	   	1.65 	0.91 	2.56 	43
 Sheffield Wed  	1.48 	1.19 	2.67 	   	1.05 	1.45 	2.50 	   	1.26 	1.33 	2.58 	43
 Stoke City  	1.05 	0.95 	2.00 	   	0.86 	1.27 	2.14 	   	0.95 	1.12 	2.07 	43
 Swansea City  	1.86 	1.19 	3.05 	   	0.95 	1.52 	2.48 	   	1.40 	1.36 	2.76 	42
 West Bromwich  	2.32 	1.36 	3.68 	   	1.57 	1.33 	2.90 	   	1.95 	1.35 	3.30 	43
 Wigan Athletic  	1.24 	0.95 	2.19 	   	0.95 	1.95 	2.91 	   	1.09 	1.47 	2.56 	43
